Body,aspect_terms
"easy to use, great for keeping track of expenses, account payable, billing invoices, service. link to your bank account to keep track of everything all in one place","Expenses, Invoicing"
IMPOSSIBLE TO CANCEL FREE TRIAL!!!!!! EMAILED COMPANY AND HAD NO REPLY!!!!!!,Quality
So simple to use! I normally use QB from my computer but the app works just as well while on-the-go.,App
super,
It makes things so convenient!,
Great for my business,
great,
great app for on the go invoices,App
great,
very good app,App
Works well,
"Major issues with app and desktop versions. Back and forth calls to solve the issues. finally gave up and cancled. On the plus side, customer support on the phone was polite. However, the product itself isn't worth the trouble. This will be the third time I have called in asking about my refund, its been almost 2 months... still waiting. Update: I've called twice since my last review which is one day shy from being a month old. I am still waiting for my refund.","Quality, App, Customer Service"
much more intuitive than xero for someone who knows nothing about accounting!,Experience
user friendly,Experience
chingonsisimoooo!!! Exelente para hacer crecer tu negocio,
lame,
"a 'lite' version of QuickBooks Online. Can't find old invoices, don't have all the information of my contacts. Really dislike this app.","Invoicing, App"
not very helpful to,
would be a 5 star is the mobile app scanned and allowed multi page receipts and used OCR to recognize amounts categories etc to short data entry,App
Easy to navigate,Experience
great,
great,
"for the most part it is pretty good. Definitely makes things easier for me. I'm disappointed in that the commercial convinced me that one can take a picture of a receipt and it would automatically categorize. Or, at least it would after the system processes your normal expenditures. I don't like you have to buy different apps to track mileage and other elements. I think everything should be based on one or two levels.","Quality, Estimates"
"it makes creating estimates simpler. i used to fumble my way thru, now it's simple and fun!",Customer Service
overpriced,
very easy to use so you can work from anywhere,
Keeps breaking down,
Great for small businesses. Easy to use with a lot of unexpected options.,Quality
Leaks your info to several malicious ip addresses. Including Facebook. Sad but true. (No root firewall app),App
"I appreciate this app and it's helpfulness, but I really wish it had customizable ""favorites"" to make your selections from to make the entry easier and more streamlined","App, Transactions"
app stops working constantly. mixes up info on invoice and has even added up invoice totals wrong.,"Invoicing, Quality"
im a Lyft driver and can this help me pay taxes,
awesome,
love it,
"QuickBooks Banking is my favorite part of the app, because it's easy you catergorise all your expenses and incomes. The dashboard shows an overview of your financial situation.","App, Expenses, Invoicing, Dashboard"
easy to use.,
simple easy setup and all from my android phone,
Great to use,
"easy to use, take photos of receipts straight into qb.",
Great app. Very helpful for my small business.,App
awesome app,App
good,
its not working,
great app,App
Update 5/20/19 updates have fixed most issues and added some functionality. Still cannot do somethings the website can do but definitely improved! 3/7/16 Gave it 4 stars last year. Since then it is completely unreliable and almost useless.,"Updates, Quality, Experience"
